Symbol,Company,Date,Open,High,Low,Close,Adj Close,Volume,Spread High-Low,Spread Close-Open
NEE,NextEra Energy Inc. Common Stock,2022-08-15,90.18000030517578,90.94000244140624,90.13999938964844,90.81500244140624,90.81500244140624,3662700.0,0.8000030517577983,0.6350021362304545
WFC,Wells Fargo & Company Common Stock,2022-08-15,45.40999984741211,45.81499862670898,44.90999984741211,45.71500015258789,45.71500015258789,7803993.0,0.904998779296868,0.3050003051757812
TXN,Texas Instruments Incorporated Common Stock,2022-08-15,184.8800048828125,185.60499572753903,182.9600067138672,185.3300018310547,185.3300018310547,1886772.0,2.6449890136718466,0.4499969482421875
QCOM,QUALCOMM Incorporated Common Stock,2022-08-15,150.32000732421875,152.6999969482422,148.39999389648438,152.35499572753906,152.35499572753906,3270756.0,4.3000030517578125,2.0349884033203125
AMD,Advanced Micro Devices Inc. Common Stock,2022-08-15,100.50499725341795,101.8499984741211,99.80020141601562,101.05999755859376,101.05999755859376,56398976.0,2.0497970581054688,0.5550003051758097
BMY,Bristol-Myers Squibb Company Common Stock,2022-08-15,75.44999694824219,75.49500274658203,73.79499816894531,74.62999725341797,74.62999725341797,8079488.0,1.7000045776367188,-0.8199996948242188
PM,Philip Morris International Inc Common Stock,2022-08-15,99.37999725341795,101.0999984741211,99.2699966430664,100.83000183105467,100.83000183105467,3186671.0,1.8300018310546875,1.4500045776367188
INTC,Intel Corporation Common Stock,2022-08-15,36.09999847412109,36.43000030517578,35.71009826660156,36.32500076293945,36.32500076293945,18734594.0,0.7199020385742188,0.2250022888183664
LIN,Linde plc Ordinary Share,2022-08-15,309.8399963378906,312.0,308.20001220703125,311.79949951171875,311.79949951171875,907982.0,3.79998779296875,1.959503173828125
MS,Morgan Stanley Common Stock,2022-08-15,90.6500015258789,92.29000091552734,90.45999908447266,91.94499969482422,91.94499969482422,5391519.0,1.8300018310546875,1.2949981689453125
RTX,Raytheon Technologies Corporation Common Stock,2022-08-15,94.33999633789062,96.1500015258789,93.9499969482422,96.05999755859376,96.05999755859376,2437177.0,2.2000045776367045,1.7200012207031392
RY,Royal Bank Of Canada Common Stock,2022-08-15,98.97000122070312,99.61000061035156,98.5,99.48789978027344,99.48789978027344,355033.0,1.1100006103515625,0.5178985595703125
AMGN,Amgen Inc. Common Stock,2022-08-15,249.07000732421875,251.52999877929688,247.88999938964844,251.3950042724609,251.3950042724609,1971427.0,3.6399993896484375,2.324996948242159
TTE,TotalEnergies SE,2022-08-15,51.70000076293945,52.06999969482422,51.02000045776367,51.893798828125,51.893798828125,1438988.0,1.0499992370605469,0.1937980651855468
HON,Honeywell International Inc. Common Stock,2022-08-15,200.6300048828125,202.4250030517578,199.44000244140625,202.2100067138672,202.2100067138672,1053306.0,2.9850006103515625,1.5800018310546875
SCHW,Charles Schwab Corporation (The) Common Stock,2022-08-12,73.0,74.70999908447266,71.88999938964844,74.58499908447266,74.58499908447266,10560737.0,2.8199996948242188,1.5849990844726562
SPGI,S&P Global Inc. Common Stock,2022-08-15,390.8200073242188,395.7950134277344,389.4100036621094,391.6499938964844,391.6499938964844,892025.0,6.385009765625,0.8299865722655682
INTU,Intuit Inc. Common Stock,2022-08-15,485.2000122070313,490.2300109863281,483.7000122070313,489.4400024414063,489.4400024414063,575611.0,6.529998779296818,4.239990234375
CVS,CVS Health Corporation Common Stock,2022-08-15,105.98999786376952,106.68000030517578,104.89230346679688,106.47689819335938,106.47689819335938,2154237.0,1.7876968383789062,0.4869003295898579
AMT,American Tower Corporation (REIT) Common Stock,2022-08-15,278.3900146484375,282.4599914550781,278.17498779296875,281.8500061035156,281.8500061035156,968207.0,4.285003662109375,3.459991455078125
LOW,Lowe's Companies Inc. Common Stock,2022-08-15,206.0,209.0200042724609,204.8999938964844,208.58999633789065,208.58999633789065,2289564.0,4.120010375976506,2.5899963378906534
MDT,Medtronic plc. Ordinary Shares,2022-08-15,94.55999755859376,95.48999786376952,94.11000061035156,95.30500030517578,95.30500030517578,2584529.0,1.3799972534179543,0.745002746582017
COP,ConocoPhillips Common Stock,2022-08-15,98.38999938964844,101.45999908447266,97.5500030517578,101.01499938964844,101.01499938964844,5106849.0,3.909996032714858,2.625
EQNR,Equinor ASA,2022-08-15,36.18000030517578,37.31999969482422,35.880001068115234,37.07500076293945,37.07500076293945,2190907.0,1.4399986267089844,0.8950004577636719
HKD,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),2022-08-15,194.0,211.9199981689453,190.00010681152344,192.18299865722656,192.18299865722656,34078.0,21.919891357421875,-1.8170013427734373
IBM,International Business Machines Corporation Common Stock,2022-08-15,132.9600067138672,135.19000244140625,132.25,134.88999938964844,134.88999938964844,2126782.0,2.94000244140625,1.92999267578125
TD,Toronto Dominion Bank (The) Common Stock,2022-08-15,66.80999755859375,67.6050033569336,66.58999633789062,67.4800033569336,67.4800033569336,933595.0,1.0150070190429688,0.6700057983398438
AXP,American Express Company Common Stock,2022-08-15,164.27999877929688,166.05999755859375,163.75999450683594,165.52999877929688,165.52999877929688,1378918.0,2.3000030517578125,1.25
GS,Goldman Sachs Group Inc. (The) Common Stock,2022-08-15,351.0,358.6199951171875,349.4385986328125,356.0050048828125,356.0050048828125,1490496.0,9.181396484375,5.0050048828125
ELV,Elevance Health Inc. Common Stock,2022-08-15,488.9500122070313,495.6000061035156,487.05999755859375,494.1950073242188,494.1950073242188,314468.0,8.540008544921875,5.2449951171875
LMT,Lockheed Martin Corporation Common Stock,2022-08-15,432.6799926757813,439.9700012207031,429.8550109863281,438.0,438.0,631934.0,10.114990234375,5.320007324218693
SAP,SAP  SE ADS,2022-08-15,94.91000366210938,95.88999938964844,94.84010314941406,95.83000183105467,95.83000183105467,1047053.0,1.049896240234375,0.9199981689452984
SONY,Sony Group Corporation American Depositary Shares ,2022-08-15,86.7699966430664,87.25900268554688,86.5,87.0,87.0,282211.0,0.759002685546875,0.2300033569335937
CAT,Caterpillar Inc. Common Stock,2022-08-15,193.3999938964844,196.4900054931641,193.07000732421875,195.6100006103516,195.6100006103516,1421734.0,3.419998168945341,2.2100067138671875
DE,Deere & Company Common Stock,2022-08-15,362.4599914550781,366.1499938964844,359.2562866210937,365.8699951171875,365.8699951171875,913489.0,6.893707275390682,3.410003662109375
PYPL,PayPal Holdings Inc. Common Stock,2022-08-15,100.72000122070312,102.20999908447266,100.47000122070312,101.83999633789062,101.83999633789062,7769730.0,1.7399978637695312,1.1199951171875
BLK,BlackRock Inc. Common Stock,2022-08-15,745.2100219726562,759.1099853515625,744.030029296875,754.3099975585938,754.3099975585938,546930.0,15.0799560546875,9.0999755859375
ADP,Automatic Data Processing Inc. Common Stock,2022-08-15,255.47000122070312,259.8399963378906,255.0399932861328,259.6400146484375,259.6400146484375,654157.0,4.8000030517578125,4.170013427734375
NFLX,Netflix Inc. Common Stock,2022-08-15,248.1100006103516,251.9900054931641,247.5229034423828,249.6100006103516,249.6100006103516,4860232.0,4.467102050781278,1.5
C,Citigroup Inc. Common Stock,2022-08-15,53.75,54.18999862670898,53.47200012207031,54.01499938964844,54.01499938964844,9153264.0,0.7179985046386648,0.2649993896484375
BA,Boeing Company (The) Common Stock,2022-08-15,169.2899932861328,172.5399932861328,168.32000732421875,170.6699981689453,170.6699981689453,4049856.0,4.219985961914063,1.3800048828125
SBUX,Starbucks Corporation Common Stock,2022-08-15,88.11000061035156,89.11990356445312,88.0199966430664,89.11000061035156,89.11000061035156,3728277.0,1.0999069213867188,1.0
